               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 128,            0.047289,            0.055441,            0.011972,             0.56778,             0.46956,             0.47451,             0.28147,            0.045224,            0.031586,            0.013641,            0.005809,            0.005809,            0.005809
                 129,            0.047282,            0.055834,            0.012056,             0.57418,             0.46658,             0.47499,             0.28225,            0.045213,            0.031586,            0.013633,            0.005776,            0.005776,            0.005776
                 130,            0.047147,            0.055671,            0.011872,             0.57312,             0.46848,             0.47503,             0.28186,            0.045203,            0.031581,            0.013631,            0.005743,            0.005743,            0.005743
                 131,            0.047209,            0.056283,            0.011965,             0.56697,              0.4728,             0.47601,             0.28246,            0.045195,            0.031579,            0.013631,             0.00571,             0.00571,             0.00571
                 132,            0.047064,            0.055917,            0.012013,             0.56642,             0.47229,             0.47612,             0.28298,            0.045187,            0.031586,            0.013636,            0.005677,            0.005677,            0.005677
                 133,            0.046952,            0.055427,            0.011826,             0.56905,             0.47012,             0.47634,             0.28271,            0.045181,            0.031583,             0.01363,            0.005644,            0.005644,            0.005644
                 134,            0.047169,            0.055667,            0.011878,             0.56562,             0.47176,             0.47764,             0.28342,            0.045175,            0.031585,             0.01363,            0.005611,            0.005611,            0.005611
                 135,            0.046953,            0.055381,            0.011644,             0.56215,             0.47528,             0.47792,             0.28369,            0.045167,            0.031584,            0.013629,            0.005578,            0.005578,            0.005578
                 136,            0.046968,            0.055398,            0.011849,              0.5612,             0.47373,              0.4779,             0.28447,             0.04516,            0.031584,            0.013631,            0.005545,            0.005545,            0.005545
                 137,            0.047006,            0.055744,            0.011697,             0.56178,             0.47291,             0.47884,             0.28568,            0.045155,            0.031584,            0.013638,            0.005512,            0.005512,            0.005512
                 138,             0.04674,            0.055635,            0.011496,             0.56174,             0.47357,             0.47874,             0.28593,            0.045151,            0.031586,             0.01364,            0.005479,            0.005479,            0.005479
                 139,             0.04679,            0.055031,            0.011637,             0.56098,             0.47332,             0.47899,             0.28672,            0.045145,            0.031582,            0.013632,            0.005446,            0.005446,            0.005446
                 140,            0.046773,            0.055286,            0.011558,             0.56271,             0.47383,             0.47921,             0.28723,            0.045135,            0.031584,            0.013625,            0.005413,            0.005413,            0.005413
                 141,            0.046556,            0.054707,            0.011521,             0.56408,             0.47236,             0.47891,             0.28758,            0.045127,            0.031585,            0.013622,             0.00538,             0.00538,             0.00538
                 142,            0.046689,            0.054983,            0.011597,             0.56189,             0.47505,             0.47982,             0.28782,            0.045118,            0.031587,            0.013618,            0.005347,            0.005347,            0.005347
                 143,            0.046591,            0.055282,            0.011438,             0.55957,             0.47739,              0.4799,             0.28825,            0.045104,            0.031581,            0.013613,            0.005314,            0.005314,            0.005314
                 144,            0.046596,            0.055481,            0.011431,             0.55652,             0.47841,             0.48057,             0.28834,             0.04509,             0.03158,            0.013609,            0.005281,            0.005281,            0.005281
                 145,            0.046683,            0.055395,            0.011573,             0.55384,             0.48083,             0.48109,             0.28906,            0.045079,            0.031576,            0.013612,            0.005248,            0.005248,            0.005248
                 146,            0.046641,            0.055367,            0.011327,             0.55732,             0.48325,             0.48178,             0.28934,            0.045066,            0.031578,            0.013618,            0.005215,            0.005215,            0.005215
                 147,            0.046419,            0.055123,            0.011304,             0.55719,             0.48224,             0.48231,             0.28948,            0.045057,            0.031581,             0.01362,            0.005182,            0.005182,            0.005182
                 148,            0.046481,            0.055177,            0.011206,             0.56446,             0.48047,             0.48262,             0.29036,             0.04505,            0.031586,            0.013628,            0.005149,            0.005149,            0.005149
                 149,            0.046363,            0.055163,            0.011279,             0.56193,             0.48126,              0.4829,             0.29033,            0.045047,            0.031589,            0.013636,            0.005116,            0.005116,            0.005116
                 150,            0.046463,             0.05521,            0.011239,             0.56138,             0.48348,             0.48217,              0.2903,            0.045043,            0.031591,            0.013642,            0.005083,            0.005083,            0.005083
                 151,            0.046353,            0.054579,            0.011254,             0.56168,             0.48468,             0.48247,             0.29017,            0.045036,            0.031588,             0.01365,             0.00505,             0.00505,             0.00505
                 152,            0.046238,            0.054369,            0.011151,             0.56209,             0.48269,             0.48241,             0.29028,            0.045033,            0.031589,            0.013672,            0.005017,            0.005017,            0.005017
                 153,            0.046369,            0.054576,            0.011253,             0.55994,             0.48667,             0.48276,             0.29023,             0.04503,            0.031592,            0.013684,            0.004984,            0.004984,            0.004984
                 154,            0.046132,            0.054754,            0.011137,             0.56059,             0.48768,             0.48319,             0.29075,            0.045025,            0.031593,            0.013699,            0.004951,            0.004951,            0.004951
                 155,            0.046093,             0.05495,            0.011094,             0.56129,             0.48611,              0.4833,             0.29043,            0.045018,            0.031594,            0.013722,            0.004918,            0.004918,            0.004918
                 156,            0.046167,            0.054557,             0.01101,             0.56162,             0.48636,             0.48323,             0.29138,            0.045019,            0.031594,            0.013739,            0.004885,            0.004885,            0.004885
                 157,            0.045996,             0.05506,            0.010947,             0.56662,             0.48444,             0.48381,             0.29192,            0.045017,            0.031595,            0.013766,            0.004852,            0.004852,            0.004852
                 158,            0.046032,            0.054729,            0.010971,             0.56304,             0.48744,             0.48358,             0.29211,            0.045013,            0.031599,             0.01378,            0.004819,            0.004819,            0.004819
                 159,            0.046053,            0.054832,            0.010841,             0.56571,             0.48659,              0.4843,              0.2923,            0.045012,            0.031602,            0.013804,            0.004786,            0.004786,            0.004786
                 160,             0.04606,            0.054233,            0.010856,             0.56989,             0.48852,             0.48469,             0.29321,            0.045006,            0.031603,             0.01382,            0.004753,            0.004753,            0.004753
                 161,            0.045742,            0.054034,            0.010969,               0.568,             0.48763,             0.48476,             0.29333,               0.045,            0.031601,            0.013828,             0.00472,             0.00472,             0.00472
                 162,            0.045894,            0.054731,            0.010864,             0.57048,             0.48634,              0.4852,              0.2936,            0.044996,            0.031599,            0.013839,            0.004687,            0.004687,            0.004687
